OBJECTID,ID,INDEX_PARC,NOM,ARROND,TYPE
1,003-0058,1139-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
2,003-0065,0900-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
3,001-0007,0306-000,Arbri soleil,Le Plateau-Mont-Royal,Plein air
4,003-0053,0664-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
5,073-0003,2812-000,Soccer à 11,Saint-Laurent,Sportif
6,003-0046,0307-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
7,075-0080,0922-000,Soccer à 4-5,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
8,001-0025,0976-000,Arbri soleil,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
9,075-0079,0922-000,Soccer à 4-5,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
10,001-0026,0967-000,Arbri soleil,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
11,001-0027,0961-000,Arbri soleil,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
12,042-0149,0961-000,Jeux d'eau,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
13,049-0030,0699-000,Pastille - Basketball,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
14,072-0033,0699-000,Anneau / Rond de glace,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
15,065-0017,0970-000,Patinoire 4 saisons,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
16,003-0510,0714-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
17,032-0012,0704-000,Fer / Galet,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
18,001-0028,0916-000,Arbri soleil,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
